"startTime";"endTime";"Wind power generation - 15 min data"
"2025-02-28T23:00:00.000Z";"2025-02-28T23:15:00.000Z";2107.51
"2025-02-28T23:15:00.000Z";"2025-02-28T23:30:00.000Z";2072.87
"2025-02-28T23:30:00.000Z";"2025-02-28T23:45:00.000Z";2014.2
"2025-02-28T23:45:00.000Z";"2025-03-01T00:00:00.000Z";1992.87
"2025-03-01T00:00:00.000Z";"2025-03-01T00:15:00.000Z";2041.65
"2025-03-01T00:15:00.000Z";"2025-03-01T00:30:00.000Z";2129.4
"2025-03-01T00:30:00.000Z";"2025-03-01T00:45:00.000Z";2105.63
"2025-03-01T00:45:00.000Z";"2025-03-01T01:00:00.000Z";2073.31
"2025-03-01T01:00:00.000Z";"2025-03-01T01:15:00.000Z";2016.04
"2025-03-01T01:15:00.000Z";"2025-03-01T01:30:00.000Z";1955.51
"2025-03-01T01:30:00.000Z";"2025-03-01T01:45:00.000Z";1943.43
"2025-03-01T01:45:00.000Z";"2025-03-01T02:00:00.000Z";1896.68
"2025-03-01T02:00:00.000Z";"2025-03-01T02:15:00.000Z";1771.01
"2025-03-01T02:15:00.000Z";"2025-03-01T02:30:00.000Z";1735.77
"2025-03-01T02:30:00.000Z";"2025-03-01T02:45:00.000Z";1708.1
"2025-03-01T02:45:00.000Z";"2025-03-01T03:00:00.000Z";1669.98
"2025-03-01T03:00:00.000Z";"2025-03-01T03:15:00.000Z";1582.51
"2025-03-01T03:15:00.000Z";"2025-03-01T03:30:00.000Z";1462.28
"2025-03-01T03:30:00.000Z";"2025-03-01T03:45:00.000Z";1355.34
"2025-03-01T03:45:00.000Z";"2025-03-01T04:00:00.000Z";1313.37
"2025-03-01T04:00:00.000Z";"2025-03-01T04:15:00.000Z";1241.81
"2025-03-01T04:15:00.000Z";"2025-03-01T04:30:00.000Z";1206.19
"2025-03-01T04:30:00.000Z";"2025-03-01T04:45:00.000Z";1221.63
"2025-03-01T04:45:00.000Z";"2025-03-01T05:00:00.000Z";1212.47
"2025-03-01T05:00:00.000Z";"2025-03-01T05:15:00.000Z";1165.77
"2025-03-01T05:15:00.000Z";"2025-03-01T05:30:00.000Z";1096.94
"2025-03-01T05:30:00.000Z";"2025-03-01T05:45:00.000Z";1017.38
"2025-03-01T05:45:00.000Z";"2025-03-01T06:00:00.000Z";952.67
"2025-03-01T06:00:00.000Z";"2025-03-01T06:15:00.000Z";895.18
"2025-03-01T06:15:00.000Z";"2025-03-01T06:30:00.000Z";844.97
"2025-03-01T06:30:00.000Z";"2025-03-01T06:45:00.000Z";793.3
"2025-03-01T06:45:00.000Z";"2025-03-01T07:00:00.000Z";742.67
"2025-03-01T07:00:00.000Z";"2025-03-01T07:15:00.000Z";706.61
"2025-03-01T07:15:00.000Z";"2025-03-01T07:30:00.000Z";669.5
"2025-03-01T07:30:00.000Z";"2025-03-01T07:45:00.000Z";643.93
"2025-03-01T07:45:00.000Z";"2025-03-01T08:00:00.000Z";610.27
"2025-03-01T08:00:00.000Z";"2025-03-01T08:15:00.000Z";568.34
"2025-03-01T08:15:00.000Z";"2025-03-01T08:30:00.000Z";557.2
"2025-03-01T08:30:00.000Z";"2025-03-01T08:45:00.000Z";522.77
"2025-03-01T08:45:00.000Z";"2025-03-01T09:00:00.000Z";514.87
"2025-03-01T09:00:00.000Z";"2025-03-01T09:15:00.000Z";510.58
"2025-03-01T09:15:00.000Z";"2025-03-01T09:30:00.000Z";516.04
"2025-03-01T09:30:00.000Z";"2025-03-01T09:45:00.000Z";541.49
"2025-03-01T09:45:00.000Z";"2025-03-01T10:00:00.000Z";566.74
"2025-03-01T10:00:00.000Z";"2025-03-01T10:15:00.000Z";567.61
"2025-03-01T10:15:00.000Z";"2025-03-01T10:30:00.000Z";550.67
"2025-03-01T10:30:00.000Z";"2025-03-01T10:45:00.000Z";558.43
"2025-03-01T10:45:00.000Z";"2025-03-01T11:00:00.000Z";575.16
"2025-03-01T11:00:00.000Z";"2025-03-01T11:15:00.000Z";587.4
"2025-03-01T11:15:00.000Z";"2025-03-01T11:30:00.000Z";601.93
"2025-03-01T11:30:00.000Z";"2025-03-01T11:45:00.000Z";617.94
"2025-03-01T11:45:00.000Z";"2025-03-01T12:00:00.000Z";632.49
"2025-03-01T12:00:00.000Z";"2025-03-01T12:15:00.000Z";645.6
"2025-03-01T12:15:00.000Z";"2025-03-01T12:30:00.000Z";660.55
"2025-03-01T12:30:00.000Z";"2025-03-01T12:45:00.000Z";717.79
"2025-03-01T12:45:00.000Z";"2025-03-01T13:00:00.000Z";753.61
"2025-03-01T13:00:00.000Z";"2025-03-01T13:15:00.000Z";758.03
"2025-03-01T13:15:00.000Z";"2025-03-01T13:30:00.000Z";810.92
"2025-03-01T13:30:00.000Z";"2025-03-01T13:45:00.000Z";876.92
"2025-03-01T13:45:00.000Z";"2025-03-01T14:00:00.000Z";943.7
"2025-03-01T14:00:00.000Z";"2025-03-01T14:15:00.000Z";975.32
"2025-03-01T14:15:00.000Z";"2025-03-01T14:30:00.000Z";996.04
"2025-03-01T14:30:00.000Z";"2025-03-01T14:45:00.000Z";1064.12
"2025-03-01T14:45:00.000Z";"2025-03-01T15:00:00.000Z";1164.18
"2025-03-01T15:00:00.000Z";"2025-03-01T15:15:00.000Z";1328.25
"2025-03-01T15:15:00.000Z";"2025-03-01T15:30:00.000Z";1458.22
"2025-03-01T15:30:00.000Z";"2025-03-01T15:45:00.000Z";1589.01
"2025-03-01T15:45:00.000Z";"2025-03-01T16:00:00.000Z";1781.11
"2025-03-01T16:00:00.000Z";"2025-03-01T16:15:00.000Z";1919.41
"2025-03-01T16:15:00.000Z";"2025-03-01T16:30:00.000Z";2024.52
"2025-03-01T16:30:00.000Z";"2025-03-01T16:45:00.000Z";2126.15
"2025-03-01T16:45:00.000Z";"2025-03-01T17:00:00.000Z";2248.7
"2025-03-01T17:00:00.000Z";"2025-03-01T17:15:00.000Z";2415.7
"2025-03-01T17:15:00.000Z";"2025-03-01T17:30:00.000Z";2539.87
"2025-03-01T17:30:00.000Z";"2025-03-01T17:45:00.000Z";2664.75
"2025-03-01T17:45:00.000Z";"2025-03-01T18:00:00.000Z";2809.42
"2025-03-01T18:00:00.000Z";"2025-03-01T18:15:00.000Z";2883.25
"2025-03-01T18:15:00.000Z";"2025-03-01T18:30:00.000Z";2882.79
"2025-03-01T18:30:00.000Z";"2025-03-01T18:45:00.000Z";2898.43
"2025-03-01T18:45:00.000Z";"2025-03-01T19:00:00.000Z";2868.41
"2025-03-01T19:00:00.000Z";"2025-03-01T19:15:00.000Z";2847.89
"2025-03-01T19:15:00.000Z";"2025-03-01T19:30:00.000Z";2977.65
"2025-03-01T19:30:00.000Z";"2025-03-01T19:45:00.000Z";3141.07
"2025-03-01T19:45:00.000Z";"2025-03-01T20:00:00.000Z";3317.55
"2025-03-01T20:00:00.000Z";"2025-03-01T20:15:00.000Z";3532.9
"2025-03-01T20:15:00.000Z";"2025-03-01T20:30:00.000Z";3618.74
"2025-03-01T20:30:00.000Z";"2025-03-01T20:45:00.000Z";3622.66
"2025-03-01T20:45:00.000Z";"2025-03-01T21:00:00.000Z";3648.1
"2025-03-01T21:00:00.000Z";"2025-03-01T21:15:00.000Z";3732
"2025-03-01T21:15:00.000Z";"2025-03-01T21:30:00.000Z";3760.64
"2025-03-01T21:30:00.000Z";"2025-03-01T21:45:00.000Z";3711.43
"2025-03-01T21:45:00.000Z";"2025-03-01T22:00:00.000Z";3653.13
"2025-03-01T22:00:00.000Z";"2025-03-01T22:15:00.000Z";3710.28
"2025-03-01T22:15:00.000Z";"2025-03-01T22:30:00.000Z";3729.35
"2025-03-01T22:30:00.000Z";"2025-03-01T22:45:00.000Z";3538.5
"2025-03-01T22:45:00.000Z";"2025-03-01T23:00:00.000Z";3685.04
"2025-03-01T23:00:00.000Z";"2025-03-01T23:15:00.000Z";3786.6
