"startTime";"endTime";"Wind power generation forecast - updated once a day"
"2025-02-28T23:00:00.000Z";"2025-02-28T23:15:00.000Z";2657
"2025-02-28T23:15:00.000Z";"2025-02-28T23:30:00.000Z";2601.7
"2025-02-28T23:30:00.000Z";"2025-02-28T23:45:00.000Z";2542.4
"2025-02-28T23:45:00.000Z";"2025-03-01T00:00:00.000Z";2479.3
"2025-03-01T00:00:00.000Z";"2025-03-01T00:15:00.000Z";2373.6
"2025-03-01T00:15:00.000Z";"2025-03-01T00:30:00.000Z";2302.2
"2025-03-01T00:30:00.000Z";"2025-03-01T00:45:00.000Z";2228.6
"2025-03-01T00:45:00.000Z";"2025-03-01T01:00:00.000Z";2150.6
"2025-03-01T01:00:00.000Z";"2025-03-01T01:15:00.000Z";2048.1
"2025-03-01T01:15:00.000Z";"2025-03-01T01:30:00.000Z";1974.7
"2025-03-01T01:30:00.000Z";"2025-03-01T01:45:00.000Z";1908.3
"2025-03-01T01:45:00.000Z";"2025-03-01T02:00:00.000Z";1840.6
"2025-03-01T02:00:00.000Z";"2025-03-01T02:15:00.000Z";1770.8
"2025-03-01T02:15:00.000Z";"2025-03-01T02:30:00.000Z";1715.6
"2025-03-01T02:30:00.000Z";"2025-03-01T02:45:00.000Z";1660.9
"2025-03-01T02:45:00.000Z";"2025-03-01T03:00:00.000Z";1605.3
"2025-03-01T03:00:00.000Z";"2025-03-01T03:15:00.000Z";1550.3
"2025-03-01T03:15:00.000Z";"2025-03-01T03:30:00.000Z";1502.1
"2025-03-01T03:30:00.000Z";"2025-03-01T03:45:00.000Z";1455
"2025-03-01T03:45:00.000Z";"2025-03-01T04:00:00.000Z";1409
"2025-03-01T04:00:00.000Z";"2025-03-01T04:15:00.000Z";1351.5
"2025-03-01T04:15:00.000Z";"2025-03-01T04:30:00.000Z";1316.6
"2025-03-01T04:30:00.000Z";"2025-03-01T04:45:00.000Z";1274.6
"2025-03-01T04:45:00.000Z";"2025-03-01T05:00:00.000Z";1224.7
"2025-03-01T05:00:00.000Z";"2025-03-01T05:15:00.000Z";1166.5
"2025-03-01T05:15:00.000Z";"2025-03-01T05:30:00.000Z";1113.6
"2025-03-01T05:30:00.000Z";"2025-03-01T05:45:00.000Z";1060.2
"2025-03-01T05:45:00.000Z";"2025-03-01T06:00:00.000Z";1006
"2025-03-01T06:00:00.000Z";"2025-03-01T06:15:00.000Z";940.4
"2025-03-01T06:15:00.000Z";"2025-03-01T06:30:00.000Z";888.9
"2025-03-01T06:30:00.000Z";"2025-03-01T06:45:00.000Z";833.4
